IDSensorAgent,MeasuredDepth,TrueDepth,Temperature,DangerTemp,CriticalTemp,ShutdownTemp,Ticks
4,20.34146666666664,17.616231381724983,30.528486929639147,120.0,139.0,150.0,26.0
3,30.34146666666664,26.27648763089335,30.78829461130704,114.0,137.0,153.0,26.0
4,20.354599999999973,17.62760518493222,30.528828143727736,120.0,139.0,150.0,27.0
2,40.35460000000007,34.94811768326904,31.04844350706353,122.0,137.0,151.0,27.0
3,30.354599999999973,26.28786143410059,30.788635825395634,114.0,137.0,153.0,27.0
1,50.35460000000007,43.60837393243741,31.30825118873143,103.0,139.0,151.0,27.0
2,40.367733333333405,34.95949148647628,31.048784721152124,122.0,137.0,151.0,28.0
3,30.367733333333305,26.29923523730783,30.788977039484223,114.0,137.0,153.0,28.0
1,50.367733333333405,43.61974773564465,31.308592402820018,103.0,139.0,151.0,28.0
4,20.367733333333305,17.638978988139463,30.529169357816325,120.0,139.0,150.0,28.0
1,50.38086666666674,43.63112153885189,31.30893361690861,103.0,139.0,151.0,29.0
3,30.380866666666638,26.31060904051507,30.789318253572812,114.0,137.0,153.0,29.0
4,20.380866666666638,17.6503527913467,30.52951057190492,120.0,139.0,150.0,29.0
2,40.38086666666674,34.97086528968353,31.049125935240713,122.0,137.0,151.0,29.0
3,30.39399999999997,26.32198284372231,30.789659467661405,114.0,137.0,153.0,30.0
2,40.39400000000008,34.98223909289077,31.049467149329303,122.0,137.0,151.0,30.0
4,20.39399999999997,17.661726594553944,30.529851785993507,120.0,139.0,150.0,30.0
1,50.39400000000008,43.642495342059135,31.3092748309972,103.0,139.0,151.0,30.0
2,40.40713333333341,34.993612896098014,31.049808363417895,122.0,137.0,151.0,31.0
3,30.407133333333302,26.333356646929552,30.790000681749994,114.0,137.0,153.0,31.0
4,20.407133333333302,17.673100397761182,30.530193000082097,120.0,139.0,150.0,31.0
1,50.40713333333341,43.653869145266384,31.30961604508579,103.0,139.0,151.0,31.0
1,50.42026666666675,43.665242948473626,31.309957259174382,103.0,139.0,151.0,32.0
3,30.420266666666635,26.34473045013679,30.790341895838587,114.0,137.0,153.0,32.0
4,20.420266666666635,17.684474200968424,30.53053421417069,120.0,139.0,150.0,32.0
2,40.42026666666675,35.004986699305256,31.050149577506485,122.0,137.0,151.0,32.0
2,40.433400000000084,35.0163605025125,31.050490791595074,122.0,137.0,151.0,33.0
4,20.433399999999967,17.695848004175662,30.53087542825928,120.0,139.0,150.0,33.0
1,50.433400000000084,43.67661675168087,31.31029847326297,103.0,139.0,151.0,33.0
3,30.433399999999967,26.356104253344032,30.790683109927176,114.0,137.0,153.0,33.0
2,40.44653333333342,35.02773430571975,31.050832005683667,122.0,137.0,151.0,34.0
3,30.4465333333333,26.36747805655127,30.791024324015766,114.0,137.0,153.0,34.0
4,20.4465333333333,17.707221807382904,30.531216642347868,120.0,139.0,150.0,34.0
1,50.44653333333342,43.68799055488811,31.310639687351564,103.0,139.0,151.0,34.0
3,30.45966666666663,26.378851859758512,30.79136553810436,114.0,137.0,153.0,35.0
4,20.45966666666663,17.718595610590143,30.53155785643646,120.0,139.0,150.0,35.0
2,40.459666666666756,35.03910810892699,31.051173219772256,122.0,137.0,151.0,35.0
1,50.459666666666756,43.69936435809535,31.310980901440153,103.0,139.0,151.0,35.0
1,50.47280000000009,43.7107381613026,31.311322115528743,103.0,139.0,151.0,36.0
2,40.47280000000009,35.05048191213423,31.05151443386085,122.0,137.0,151.0,36.0
3,30.472799999999964,26.39022566296575,30.791706752192948,114.0,137.0,153.0,36.0
4,20.472799999999964,17.729969413797384,30.53189907052505,120.0,139.0,150.0,36.0
3,30.485933333333296,26.401599466172993,30.792047966281537,114.0,137.0,153.0,37.0
1,50.48593333333343,43.72211196450984,31.311663329617335,103.0,139.0,151.0,37.0
2,40.48593333333343,35.06185571534147,31.051855647949438,122.0,137.0,151.0,37.0
4,20.485933333333296,17.741343217004626,30.532240284613643,120.0,139.0,150.0,37.0
4,20.49906666666663,17.752717020211865,30.532581498702232,120.0,139.0,150.0,38.0
3,30.49906666666663,26.41297326938023,30.79238918037013,114.0,137.0,153.0,38.0
2,40.499066666666764,35.073229518548715,31.052196862038027,122.0,137.0,151.0,38.0
1,50.499066666666764,43.733485767717085,31.312004543705925,103.0,139.0,151.0,38.0
1,50.5122000000001,43.744859570924326,31.312345757794517,103.0,139.0,151.0,39.0
2,40.5122000000001,35.084603321755964,31.05253807612662,122.0,137.0,151.0,39.0
3,30.51219999999996,26.424347072587473,30.79273039445872,114.0,137.0,153.0,39.0
4,20.51219999999996,17.764090823419107,30.53292271279082,120.0,139.0,150.0,39.0
1,50.525333333333435,43.75623337413157,31.312686971883107,103.0,139.0,151.0,40.0
4,20.525333333333293,17.775464626626345,30.533263926879414,120.0,139.0,150.0,40.0
2,40.525333333333435,35.095977124963206,31.05287929021521,122.0,137.0,151.0,40.0
3,30.525333333333293,26.435720875794715,30.793071608547308,114.0,137.0,153.0,40.0
1,50.53846666666677,43.76760717733882,31.313028185971696,103.0,139.0,151.0,41.0
3,30.538466666666626,26.447094679001953,30.7934128226359,114.0,137.0,153.0,41.0
2,40.53846666666677,35.10735092817045,31.053220504303802,122.0,137.0,151.0,41.0
4,20.538466666666626,17.786838429833587,30.533605140968003,120.0,139.0,150.0,41.0
2,40.55160000000011,35.11872473137769,31.05356171839239,122.0,137.0,151.0,42.0
4,20.551599999999958,17.798212233040825,30.533946355056592,120.0,139.0,150.0,42.0
1,50.55160000000011,43.77898098054606,31.31336940006029,103.0,139.0,151.0,42.0
3,30.551599999999958,26.458468482209195,30.79375403672449,114.0,137.0,153.0,42.0
1,50.56473333333344,43.7903547837533,31.313710614148878,103.0,139.0,151.0,43.0
4,20.56473333333329,17.809586036248067,30.534287569145185,120.0,139.0,150.0,43.0
2,40.56473333333344,35.13009853458493,31.05390293248098,122.0,137.0,151.0,43.0
3,30.56473333333329,26.469842285416433,30.79409525081308,114.0,137.0,153.0,43.0
4,20.577866666666623,17.820959839455305,30.534628783233774,120.0,139.0,150.0,44.0
1,50.57786666666678,43.80172858696054,31.314051828237467,103.0,139.0,151.0,44.0
2,40.57786666666678,35.14147233779218,31.054244146569573,122.0,137.0,151.0,44.0
3,30.577866666666623,26.481216088623675,30.794436464901672,114.0,137.0,153.0,44.0
2,40.591000000000115,35.15284614099942,31.054585360658162,122.0,137.0,151.0,45.0
1,50.591000000000115,43.813102390167785,31.31439304232606,103.0,139.0,151.0,45.0
3,30.590999999999955,26.492589891830914,30.79477767899026,114.0,137.0,153.0,45.0
4,20.590999999999955,17.832333642662547,30.534969997322364,120.0,139.0,150.0,45.0
2,40.60413333333345,35.164219944206664,31.05492657474675,122.0,137.0,151.0,46.0
1,50.60413333333345,43.824476193375034,31.31473425641465,103.0,139.0,151.0,46.0
4,20.604133333333287,17.843707445869786,30.535311211410956,120.0,139.0,150.0,46.0
3,30.604133333333287,26.503963695038156,30.79511889307885,114.0,137.0,153.0,46.0
4,20.61726666666662,17.855081249077028,30.535652425499546,120.0,139.0,150.0,47.0
3,30.61726666666662,26.515337498245394,30.795460107167443,114.0,137.0,153.0,47.0
1,50.61726666666679,43.835849996582276,31.315075470503242,103.0,139.0,151.0,47.0
2,40.61726666666679,35.175593747413906,31.055267788835344,122.0,137.0,151.0,47.0
2,40.63040000000012,35.18696755062115,31.055609002923934,122.0,137.0,151.0,48.0
1,50.63040000000012,43.84722379978952,31.31541668459183,103.0,139.0,151.0,48.0
3,30.630399999999952,26.526711301452636,30.795801321256032,114.0,137.0,153.0,48.0
4,20.630399999999952,17.866455052284266,30.535993639588135,120.0,139.0,150.0,48.0
2,40.64353333333346,35.1983413538284,31.055950217012526,122.0,137.0,151.0,49.0
1,50.64353333333346,43.85859760299676,31.31575789868042,103.0,139.0,151.0,49.0
3,30.643533333333284,26.538085104659874,30.79614253534462,114.0,137.0,153.0,49.0
4,20.643533333333284,17.877828855491508,30.536334853676728,120.0,139.0,150.0,49.0
1,50.656666666666794,43.869971406204,31.316099112769013,103.0,139.0,151.0,50.0
2,40.656666666666794,35.20971515703564,31.056291431101116,122.0,137.0,151.0,50.0
4,20.656666666666617,17.88920265869875,30.536676067765317,120.0,139.0,150.0,50.0
3,30.656666666666617,26.549458907867116,30.796483749433214,114.0,137.0,153.0,50.0
3,30.66979999999995,26.560832711074355,30.796824963521804,114.0,137.0,153.0,51.0
2,40.66980000000013,35.22108896024288,31.056632645189705,122.0,137.0,151.0,51.0
4,20.66979999999995,17.900576461905988,30.537017281853906,120.0,139.0,150.0,51.0
1,50.66980000000013,43.88134520941125,31.316440326857602,103.0,139.0,151.0,51.0
1,50.682933333333466,43.89271901261849,31.31678154094619,103.0,139.0,151.0,52.0
4,20.68293333333328,17.91195026511323,30.5373584959425,120.0,139.0,150.0,52.0
2,40.682933333333466,35.23246276345012,31.056973859278298,122.0,137.0,151.0,52.0
3,30.68293333333328,26.572206514281596,30.797166177610396,114.0,137.0,153.0,52.0
3,30.696066666666614,26.583580317488835,30.797507391698986,114.0,137.0,153.0,53.0
4,20.696066666666614,17.92332406832047,30.537699710031088,120.0,139.0,150.0,53.0
2,40.6960666666668,35.243836566657365,31.057315073366887,122.0,137.0,151.0,53.0
1,50.6960666666668,43.904092815825734,31.317122755034784,103.0,139.0,151.0,53.0
